tau_pop,1,-0.464,0.00356,-0.075,-0.0933,-0.0185,-0.0829,0.242,-0.0189,0.0906,-0.583,0.277,0.0216,0.0159,-0.0579,-0.0751,0.107,-0.0503,-0.107,0.0685,0.00192,0.0186,-0.00212,-0.0248
g_pop,-0.464,1,0.329,0.0806,0.0608,-0.00871,0.115,-0.275,0.0201,-0.0668,0.275,-0.54,0.151,0.0613,0.029,0.03,-0.15,0.00509,0.0878,-0.107,-0.0159,-0.000118,-0.00452,0.0408
c_pop,0.00356,0.329,1,-0.0738,0.0638,-0.0354,-0.0452,-0.163,-0.206,-0.0688,-0.00271,-0.174,0.374,0.0104,0.0391,-0.0194,-0.0511,-0.0598,0.00441,-0.07,-0.0188,0.00606,0.00209,0.0297
a1_pop,-0.075,0.0806,-0.0738,1,0.134,0.0241,0.0274,0.0359,-0.231,-0.0446,0.0444,-0.0677,-0.0646,0.219,0.0226,0.0175,-0.0387,0.114,0.0568,0.00175,-0.00589,0.00646,-0.000315,-0.00221
a2_pop,-0.0933,0.0608,0.0638,0.134,1,0.0192,-0.00851,-0.105,-0.198,-0.0847,0.0952,-0.033,0.0215,0.0313,0.295,-0.0106,-0.035,0.0915,0.0799,0.0259,-0.00906,-0.00345,-0.033,0.035
a3_pop,-0.0185,-0.00871,-0.0354,0.0241,0.0192,1,0.00913,0.0272,0.00619,-0.24,-0.0107,0.0096,0.0125,-0.00897,-0.00501,0.0511,0.0217,0.0535,-0.027,0.0321,-0.00118,-0.00304,-0.0262,0.00576
d_pop,-0.0829,0.115,-0.0452,0.0274,-0.00851,0.00913,1,-0.0552,0.0868,-0.0295,0.0797,-0.116,-0.0242,-0.000635,-0.0137,0.00478,-0.193,-0.0327,0.038,-0.0624,-0.0124,0.00394,-0.0215,0.0565
tau1_pop,0.242,-0.275,-0.163,0.0359,-0.105,0.0272,-0.0552,1,-0.0263,0.144,-0.199,0.182,-0.00307,-0.0296,-0.075,-0.135,0.168,-0.0099,-0.147,0.186,0.0349,0.0372,0.0115,-0.106
tau2_pop,-0.0189,0.0201,-0.206,-0.231,-0.198,0.00619,0.0868,-0.0263,1,-0.0891,-0.0101,-0.0617,-0.137,-0.0505,-0.0413,0.0216,-0.0242,-0.136,-0.125,-0.106,0.0128,0.00255,-0.0113,0.00667
tau3_pop,0.0906,-0.0668,-0.0688,-0.0446,-0.0847,-0.24,-0.0295,0.144,-0.0891,1,-0.0576,0.000245,-0.0499,-0.0114,-0.0412,-0.0396,0.0424,-0.00201,0.0429,0.387,-0.000918,0.0131,-0.0074,-0.00261
