id,importanceSampling
1,1165.770396
2,972.028649
4,969.922389
5,1115.926294
6,1043.142346
7,946.972122
8,979.393053
9,787.446391
10,991.991284
11,859.643351
14,769.727462
16,849.378035
17,823.880130
18,688.228947
19,850.122878
21,868.600453
22,1016.604544
23,900.794590
24,452.319565
26,286.228359
27,457.135269
28,865.816012
29,889.805748
30,961.017665
31,1025.764609
32,1003.561798
33,952.031463
35,976.414430
36,1104.943758
38,867.020634
41,1198.531833
43,975.041673
44,969.943216
48,1301.987728
52,666.772729
55,974.369880
56,970.319669
60,985.835423
61,999.391547
62,975.251020
67,849.266282
69,1180.149014
71,968.934597
72,941.863558
73,1045.530227
74,994.021924
75,1196.215656
78,890.439902
79,1211.388646
80,937.831335
81,769.308968
82,979.732971
83,2027.017159
84,1008.130411
85,970.354930
92,1007.864534
97,997.110416
101,850.491967
102,1035.634277
103,1289.097201
104,934.745871
105,977.905710
106,1037.571522
107,977.116002
108,1406.733207
110,931.352494
111,934.573487
113,972.150888
114,896.676351
115,931.390301
116,982.971662
117,1257.765292
118,974.903641
120,977.041045
121,982.404554
124,971.194761
125,965.022321
126,972.483656
127,970.480910
129,972.490242
130,971.135508
135,1228.819335
138,808.107984
140,789.227326
152,1126.064033
153,537.876869
155,543.437290
157,127.829308
158,486.546230
159,411.114678
160,406.445625
161,504.273217
169,852.197001
173,527.430045
177,495.902981
178,407.696283
179,527.654451
180,577.787833
183,491.986499
184,486.831688
185,488.536973
186,572.555795
187,558.070821
188,548.989833
189,539.346604
191,366.785294
194,545.485744
195,446.532162
196,622.637185
197,504.964499
199,586.138930
200,500.403219
201,446.570759
202,412.449332
203,368.389390
204,487.483734
205,446.810038
206,620.870818
207,366.507512
208,678.975897
209,450.147703
210,502.943859
211,485.830320
212,519.426164
214,2653.443581
216,527.174393
217,534.385268
218,486.599013
219,450.725466
220,446.292895
221,619.509238
225,534.758450
226,540.792972
227,632.048831
230,606.276549
231,532.281592
233,448.294440
234,903.509280
235,527.969268
236,730.075856
238,783.714825
239,586.528778
240,534.910924
242,550.943306
245,446.169581
247,567.122181
248,591.671719
249,1615.558729
250,556.939316
