rep,id,V0,delta
1,1,44645.8229032611,0.147472360433009
2,1,15792.5874278297,0.17583637429797
3,1,387546.228684277,0.165989199727261
4,1,112352.178044329,0.147315838949793
1,2,30929.4727348468,0.158244998741127
2,2,18247.2617432808,0.149995864692294
3,2,20636.8206711075,0.141365062243181
4,2,16745.6927822565,0.164407801913104
1,4,64646.3814583832,0.163252067524933
2,4,23268.8254288652,0.167829166526598
3,4,205497.178262659,0.171701610713075
4,4,41352.2422375295,0.120666336051172
1,5,59874.4755924078,0.160971053278415
2,5,34411.937180411,0.151224769310833
3,5,15426.5145206777,0.153027897845161
4,5,69698.2634077094,0.139147796661359
1,6,66132.024160389,0.146649711904677
2,6,89118.2734735623,0.166266491697322
3,6,42913.8759380438,0.142341494783002
4,6,26767.8885880426,0.138336179389564
1,7,174209.086968598,0.123962887474696
2,7,411293.49744537,0.145121237867615
3,7,392881.427049877,0.154525280713136
4,7,111699.389999422,0.150019963696315
1,8,89873.4970080255,0.145043784163958
2,8,48302.2195580882,0.15650868524732
3,8,55276.5913498277,0.179587426530522
4,8,127229.195979846,0.158869237721511
1,9,36539.3848610286,0.144352727329007
2,9,55635.132681095,0.138197223720541
3,9,39822.8955736469,0.148105314526344
4,9,60281.4417513413,0.145978108393412
1,10,215780.299962429,0.168225619518976
2,10,67079.0470556766,0.141674216745325
3,10,95345.7126908673,0.140343624199849
4,10,138666.28170118,0.140763321282636
1,11,21856.8090347954,0.145015818216907
2,11,35950.9162165359,0.153368008469464
3,11,17746.0770877384,0.144018347130406
4,11,30200.9020376392,0.142459468073572
1,14,18979.0880943342,0.145667019279546
2,14,75814.5336867443,0.16529438336455
3,14,36229.7435630588,0.158631670080673
4,14,10622.1636555886,0.168374062144479
1,16,53975.0885733927,0.126251752615447
2,16,18003.4848329903,0.163189704411747
3,16,45618.0700674029,0.157219386088847
4,16,7001.28941476799,0.164932686688136
1,17,24574.17261217,0.162078020996446
2,17,24690.6448421908,0.168341960467863
3,17,24099.5594284098,0.145573158618214
4,17,34534.7402470658,0.163788574206184
1,22,15822.8899672426,0.152953587566366
2,22,10613.9666279391,0.143357677176531
3,22,8240.11986717163,0.155759868574777
4,22,13271.5912304557,0.15362341265585
1,23,5547.17718732833,0.137809389839378
2,23,19075.8066638179,0.170814438839441
3,23,16092.5708164467,0.133977091503954
4,23,865.533014256818,0.17123303265225
1,24,3765.50804472853,0.132993114954023
2,24,341.268170241448,0.157186189013269
3,24,5069.6803255277,0.158976830861634
4,24,1936.55053034305,0.142628236714586
1,26,6812.22325947562,0.148733503752686
2,26,6902.26977756445,0.132162135062617
3,26,4660.7805659932,0.169770963033928
4,26,9269.40293565926,0.154574599989124
1,27,455123.684099507,0.156814160297531
2,27,211090.355124527,0.133518243813632
3,27,337390.816876987,0.161900569695205
4,27,164398.486357741,0.148568408229959
1,28,205157.223721044,0.142985108860003
2,28,145328.689382118,0.16609189435415
3,28,72920.1284624885,0.147861923196385
4,28,184585.232184469,0.152417840130769
1,29,184129.559825374,0.166254133846539
2,29,223611.629105007,0.145023784074452
3,29,407008.742297172,0.171276885896826
4,29,535346.272511879,0.163226835362832
1,30,19464.1485252456,0.165313447865795
2,30,57337.2835266115,0.141647843436012
3,30,17855.9327522033,0.162919424236024
4,30,24685.3642792408,0.149290811905157
1,31,11742.1099859828,0.141975241778901
2,31,25485.3919561441,0.151474091145233
3,31,14142.411316924,0.150078684679258
4,31,27300.5368763872,0.167237844843529
1,32,556522.516142768,0.171104227680872
2,32,1035225.97517739,0.151825196330676
3,32,135416.110156953,0.145536545213979
4,32,162404.232188721,0.15199106396573
1,33,348459.027926803,0.170095271754058
2,33,268609.154091844,0.146884167840402
3,33,161168.054794616,0.144232873805794
4,33,174328.0949609,0.159852262862861
1,34,58277.7547317458,0.144747512430293
2,34,98662.1844501589,0.174955717098462
3,34,14580.127823092,0.148990060684624
4,34,17457.6742750716,0.142857850688854
1,35,26234.0113285291,0.153901719842091
2,35,26831.1313657826,0.150032348303637
3,35,6595.35598152481,0.145328185151462
4,35,6348.73262504985,0.166606440154075
1,36,22237.3643878706,0.175817053812201
2,36,30067.6692336827,0.151926561405252
3,36,6557.21357053437,0.161879968779787
4,36,30947.5307927293,0.157101585546975
1,41,20830.0062152117,0.149271051961998
2,41,43334.3046610266,0.148754883859753
3,41,19541.0865637572,0.157058628614565
4,41,26465.8938399092,0.137471665092226
1,43,4500.16332163772,0.140169945623161
2,43,4325.61998890566,0.134060168803209
3,43,26606.9792882961,0.149181933516139
4,43,41246.2964750253,0.156103382169771
1,48,14846.3632350296,0.159975779407306
2,48,6024.85720453975,0.133716290357565
