id,importanceSampling
1,15.766543
2,8.834961
4,19.385904
5,17.237525
6,18.608417
7,11.170342
8,28.114392
9,11.404902
10,30.380013
11,10.451324
14,7.471813
16,9.332697
17,15.166114
22,12.210801
23,6.270273
24,14.572073
26,8.550434
27,10.764163
28,27.941506
29,32.478562
30,18.764031
31,11.422838
32,28.529435
33,69.791590
34,16.041349
35,9.250990
36,12.011464
41,58.261821
43,10.871469
48,12.175408
50,9.675962
51,6.530351
54,15.828486
55,10.339154
60,36.458125
61,12.835570
64,16.720366
65,37.223237
66,6.724313
67,17.556518
68,12.620502
69,10.845042
70,7.089998
71,5.641531
72,8.012316
73,7.021970
74,12.757627
75,9.042491
76,47.249281
77,13.321321
79,41.705815
80,9.842048
81,6.693535
82,17.516939
83,10.444501
84,17.344545
85,11.225315
86,10.064577
87,12.580918
103,3.729227
112,13.069378
113,7.721968
114,5.868746
115,20.589057
116,11.808076
117,18.331293
120,14.201448
121,7.478370
122,10.214109
124,13.059012
125,9.310055
129,8.484818
135,8.601401
140,11.447288
151,5.340016
152,26.615475
153,20.360423
155,34.479582
158,23.078072
159,11.815678
160,15.434842
162,6.413903
163,11.236594
164,16.215019
165,16.015312
168,6.985264
169,17.238244
171,14.985298
173,12.632262
174,14.403936
175,27.915920
177,16.727909
178,6.618008
179,12.411315
180,43.074373
183,22.804047
184,11.141548
185,9.657144
186,21.881103
187,43.787814
188,21.196688
189,23.293787
191,9.454876
194,19.922833
195,12.514409
196,23.311537
197,14.201098
198,42.570495
199,25.455310
200,35.885703
201,15.691179
202,15.881742
203,7.537383
204,18.332326
205,17.954050
206,21.048694
207,13.922419
208,30.983661
209,11.892131
210,19.288825
212,15.965156
213,17.219570
214,28.704251
215,9.756025
216,20.835839
217,13.050075
218,8.816522
219,29.298781
220,14.846386
221,24.608587
223,9.331220
224,6.062384
225,22.028122
226,21.874217
227,10.932975
228,11.685220
230,11.662453
231,30.645548
233,16.140719
234,21.518678
235,15.669394
238,8.506045
239,22.840439
240,16.847679
242,14.713830
243,20.952356
245,7.658005
247,18.953055
248,39.945605
249,19.387738
250,22.329499
