g_mean,d_mean,P0_mean
28.3395,0.517673,39.2745
39.6226,0.396619,32.8338
34.904,0.397358,42.0042
35.6655,0.356366,29.9289
37.2702,0.42152,41.3762
37.0938,0.409236,39.3333
41.1178,0.456898,34.4541
33.4001,0.437117,56.42069999999999
35.5456,0.434081,45.478
41.3366,0.366322,37.9164
32.9312,0.503096,41.053
37.8849,0.41217,32.7267
37.6696,0.373825,42.4008
39.7081,0.450181,38.6416
35.6655,0.356366,29.9289
34.904,0.397358,42.0042
37.8849,0.41217,32.7267
35.9598,0.3575,33.0661
41.3353,0.389544,35.5017
50.8336,0.305657,32.6765
37.8849,0.41217,32.7267
35.5456,0.434081,45.478
43.5342,0.399484,33.3972
31.323400000000003,0.496323,52.4693
37.0938,0.409236,39.3333
29.6254,0.520171,48.4005
34.4504,0.358931,35.9231
41.5915,0.42054,39.6316
39.7081,0.450181,38.6416
44.3416,0.427828,33.6379
39.7081,0.450181,38.6416
33.0817,0.464085,40.165
39.7081,0.450181,38.6416
31.367,0.474299,46.8028
33.0817,0.464085,40.165
33.0817,0.464085,40.165
41.1178,0.456898,34.4541
43.5342,0.399484,33.3972
39.7081,0.450181,38.6416
50.8336,0.305657,32.6765
39.368,0.427242,41.6653
32.1933,0.387967,43.4272
37.2702,0.42152,41.3762
39.368,0.427242,41.6653
30.4042,0.492602,41.6671
37.3983,0.355357,35.2667
30.0889,0.460936,49.0167
37.3888,0.487203,43.4648
39.6226,0.396619,32.8338
38.9033,0.380914,38.694
43.0288,0.380531,47.3249
37.8849,0.41217,32.7267
43.5342,0.399484,33.3972
41.5915,0.42054,39.6316
41.5915,0.42054,39.6316
37.8849,0.41217,32.7267
34.4504,0.358931,35.9231
37.0938,0.409236,39.3333
37.3888,0.487203,43.4648
33.0817,0.464085,40.165
35.5456,0.434081,45.478
52.3774,0.430515,47.799
37.3983,0.355357,35.2667
35.6655,0.356366,29.9289
39.6226,0.396619,32.8338
48.6029,0.464231,45.6048
41.3353,0.389544,35.5017
42.4244,0.340414,23.563100000000002
41.1178,0.456898,34.4541
37.3888,0.487203,43.4648
43.3611,0.477112,51.2882
34.904,0.397358,42.0042
33.2762,0.519193,52.3349
43.9392,0.40074499999999996,29.7754
37.3251,0.44011,43.0246
33.821,0.338376,39.7768
50.2249,0.394579,38.3198
52.3774,0.430515,47.799
35.6871,0.482876,32.6955
37.0938,0.409236,39.3333
39.6226,0.396619,32.8338
41.119,0.396935,39.295
32.4017,0.438757,36.6693
41.3353,0.389544,35.5017
39.7081,0.450181,38.6416
34.9332,0.402203,35.7463
39.7081,0.450181,38.6416
32.1933,0.387967,43.4272
41.3366,0.366322,37.9164
47.1648,0.423081,38.7106
41.3353,0.389544,35.5017
52.3774,0.430515,47.799
35.5456,0.434081,45.478
37.0938,0.409236,39.3333
33.0817,0.464085,40.165
43.9392,0.40074499999999996,29.7754
42.8484,0.370523,44.4513
41.3366,0.366322,37.9164
41.3353,0.38954400000000006,35.5017
41.3366,0.366322,37.9164
39.7081,0.450181,38.6416
37.3983,0.355357,35.2667
48.6029,0.464231,45.6048
35.5456,0.434081,45.478
34.904,0.397358,42.0042
37.8849,0.41217,32.7267
32.1933,0.387967,43.4272
43.5342,0.399484,33.3972
32.4017,0.438757,36.6693
41.3366,0.366322,37.9164
40.8002,0.37174,29.7893
36.7419,0.383005,32.8771
45.5824,0.409293,33.9663
37.3983,0.355357,35.2667
43.9392,0.400745,29.7754
37.2702,0.42152,41.3762
38.9869,0.426648,47.0275
42.2214,0.438767,48.671
37.2702,0.42152,41.3762
41.3366,0.366322,37.9164
38.9869,0.426648,47.0275
43.5342,0.399484,33.3972
37.3251,0.44011,43.0246
31.1484,0.41916,31.5983
35.5456,0.434081,45.478
30.4042,0.492602,41.6671
39.7081,0.450181,38.6416
37.2702,0.42152,41.3762
34.5803,0.352566,47.4996
34.904,0.397358,42.0042
41.3353,0.389544,35.5017
43.9392,0.400745,29.7754
41.119,0.396935,39.295
37.3251,0.44011,43.0246
37.3888,0.487203,43.4648
34.904,0.397358,42.0042
52.3774,0.430515,47.799
41.587,0.432112,45.8918
41.587,0.432112,45.8918
32.4017,0.438757,36.6693
29.6254,0.520171,48.4005
39.32,0.383745,31.5524
37.2702,0.42152,41.3762
35.9598,0.3575,33.0661
47.7117,0.412029,34.2624
39.7081,0.450181,38.6416
37.8849,0.41217,32.7267
41.119,0.396935,39.295
41.3353,0.389544,35.5017
39.6226,0.396619,32.8338
41.3353,0.38954400000000006,35.5017
41.1178,0.456898,34.4541
47.16479999999999,0.423081,38.7106
39.6226,0.396619,32.8338
47.0262,0.442329,44.3844
41.3366,0.366322,37.9164
37.2702,0.42152,41.3762
35.6871,0.482876,32.6955
33.2762,0.519193,52.3349
37.3888,0.487203,43.4648
41.3353,0.389544,35.5017
39.7081,0.450181,38.6416
35.5456,0.434081,45.478
37.8849,0.41217,32.7267
39.7081,0.450181,38.6416
34.904,0.397358,42.0042
37.3983,0.355357,35.2667
37.3983,0.355357,35.2667
47.7117,0.412029,34.2624
41.3366,0.366322,37.9164
36.7419,0.383005,32.8771
