,Feature,Value
60,PT% d2,0.0195009094502821
26,PT%,0.008414240923626578
27,PTINR_d0,0.006145277835379078
28,PTs_d0,0.0027217066912726285
48,PT% d1,0.0019556284981853004
32,Tbil_d0,0.001605111244277727
53,ALT d1,0.0013952118646352834
34,AST,0.0013918909138141329
35,ALT,0.0012475910930878744
4,Fib,0.0011587402342621554
36,LDH,0.0009714479912138546
33,Dbil_d0,0.0008522039609646766
23,No LA,0.0007182804342782726
65,ALT d2,0.0006760104712530976
5,ATIII,0.0005941857001707113
52,AST d1,0.0005686337071133167
12,IgG,0.0005679738043372618
9,Che,0.0005381505884183942
29,Alb,0.0005282977928574966
49,Alb d1,0.0005051936266042562
10,CRP,0.0004919239797854181
0,Age,0.00047386847680580405
13,IgA,0.00046412497956026114
47,Plt d1,0.0004017695342307835
11,Ferritin,0.0003792590924900887
25,Plt,0.00037175152390291614
7,ALP,0.00036986698285021663
3,WBC,0.00036962835102494825
6,APTT,0.0003604630742037924
15,AFP,0.0003569831072920534
54,LDH d1,0.0003369677045261865
2,MELD,0.00032782335080067744
55,NH3 d1,0.0003167640990253253
8,gGTP,0.00031124481712347995
14,IgM,0.0002764590447900495
61,Alb d2,0.00027555457828887166
16,PIVKA,0.0002662544217440681
59,Plt d2,0.0002589629334702298
64,AST d2,0.0002563695401877699
67,NH3 d2,0.00025274560909328473
17,sIL2R,0.00023664236986047603
30,BUN,0.0002223602164085688
66,LDH d2,0.00022194034544315618
50,BUN d1,0.00021896301061751026
37,NH3,0.00021859902801426244
68,D/T-bil d2,0.0002170966273164209
38,D/T-bil,0.0002037869860417736
62,BUN d2,0.0002013224574035096
63,Cre d2,0.00018052001244924662
31,Cre,0.00017831544718904644
56,D/T-bil d1,0.00016499093669957487
51,Cre d1,0.00016369057678534388
57,FFP d0,0.00015511695107662784
40,No TASIT,0.00014693137031978544
58,No rhTM d0,0.00010583478114069727
18,Sex M,9.723169399764852e-05
20,ALF NC,8.832576023226784e-05
41,No PAP,8.455627972873203e-05
1,HE,8.087844451011821e-05
39,No PE,7.4669504227432e-05
42,No AC,6.335892749055667e-05
43,No CHDF,6.231046567008014e-05
21,ALI,5.2990414915114845e-05
24,ALT/LDH>1.5,4.98746744011271e-05
44,Vasopressor,1.1508828269633854e-05
19,ALF SA,3.6075203010085834e-06
22,LOHF,3.4471207083897628e-06
46,Yesterday_rhTM_NotDone_d0,0.0
45,Yesterday_FFPprescribing_U_d0,0.0
