,Feature,Value
60,PT% d2,0.01943159676094239
26,PT%,0.00842674067861421
27,PTINR_d0,0.0062164365752133445
28,PTs_d0,0.0026997366300964597
48,PT% d1,0.001929271526189273
32,Tbil_d0,0.001697615197389872
34,AST,0.001430488585469005
53,ALT d1,0.0013481482757138838
35,ALT,0.0012676928019950296
4,Fib,0.0011344681526885712
36,LDH,0.0009496145528574206
33,Dbil_d0,0.0008696664729065057
23,No LA,0.0007522974287585345
65,ALT d2,0.0006360824353294617
5,ATIII,0.0006236773325378972
9,Che,0.0005877387944281025
49,Alb d1,0.0005694828892269769
52,AST d1,0.0005526309169902956
12,IgG,0.0005398004475667862
29,Alb,0.0004916271255940134
47,Plt d1,0.0004634523639410916
0,Age,0.00044851076754189555
10,CRP,0.00044059262824197863
13,IgA,0.0004195630914419859
2,MELD,0.0003888861027558485
11,Ferritin,0.00038668739239851996
25,Plt,0.0003848124419439493
7,ALP,0.0003686151094430334
3,WBC,0.0003629832271421103
6,APTT,0.00035495317462369433
15,AFP,0.0003476104724270231
64,AST d2,0.0003280246870576461
59,Plt d2,0.00032481176595534336
67,NH3 d2,0.00030418433133513293
8,gGTP,0.0002965591789957644
61,Alb d2,0.00029591216324658276
54,LDH d1,0.00029217121411799073
14,IgM,0.0002848284494637771
55,NH3 d1,0.00028297269951840716
16,PIVKA,0.00025311431646444637
17,sIL2R,0.0002425286920598577
50,BUN d1,0.0002343367896460364
37,NH3,0.000234197089440801
38,D/T-bil,0.00021729091440440208
62,BUN d2,0.0002115953060342777
30,BUN,0.00020712258119100416
68,D/T-bil d2,0.00020513216656169305
66,LDH d2,0.00020455347048689267
31,Cre,0.00018913073507958176
51,Cre d1,0.00018586730415373468
63,Cre d2,0.0001597267909939851
56,D/T-bil d1,0.00015446708051660175
69,Yesterday_FFPprescribing_U_d2,0.00014694391903445538
57,FFP d0,0.00013306163011894782
40,No TASIT,0.00011367096869117964
18,Sex M,9.180551876200257e-05
41,No PAP,8.698712452312744e-05
70,Yesterday_rhTM_NotDone_d2,7.644296476487506e-05
39,No PE,6.926739223345192e-05
20,ALF NC,6.604139823203556e-05
42,No AC,6.13702258000507e-05
21,ALI,6.12711853546274e-05
43,No CHDF,5.9239825798698676e-05
24,ALT/LDH>1.5,5.797058853002333e-05
58,No rhTM d0,5.524791327741693e-05
1,HE,4.9647661651439815e-05
44,Vasopressor,1.130182934841206e-05
19,ALF SA,4.14094916357539e-06
22,LOHF,3.3611319766671687e-06
45,Yesterday_FFPprescribing_U_d0,0.0
46,Yesterday_rhTM_NotDone_d0,0.0
