,Feature,Value
72,PT_percentage_d3,0.013377504370756146
60,PT% d2,0.012098692737327981
26,PT%,0.008097940967038017
27,PTINR_d0,0.005871831601466834
28,PTs_d0,0.0025042273832664194
48,PT% d1,0.0017057564553570113
53,ALT d1,0.0009642268949366457
32,Tbil_d0,0.0008479922948588884
36,LDH,0.0006910409935298651
35,ALT,0.0006788830085489005
34,AST,0.0006474524849242921
4,Fib,0.0006023382545471129
33,Dbil_d0,0.0005617820600986226
12,IgG,0.0004556171709081492
52,AST d1,0.00044371986613583723
9,Che,0.00042231046814985337
29,Alb,0.00041835693596247527
49,Alb d1,0.0004156571771465293
23,No LA,0.00040408628489616407
47,Plt d1,0.00037408872333229485
5,ATIII,0.00035227602796486496
11,Ferritin,0.00034735022190401867
10,CRP,0.000340574641259338
0,Age,0.0003397172282060995
3,WBC,0.00030759667907851086
65,ALT d2,0.00029902490925972063
6,APTT,0.0002938822737236754
15,AFP,0.00029095605644558116
25,Plt,0.0002873442727003447
2,MELD,0.0002843452264416362
54,LDH d1,0.00027893095903379323
71,Plt_d3,0.00027480432652868334
77,ALT_d3,0.0002505666396143428
61,Alb d2,0.00024832780666049687
13,IgA,0.00024249540111313407
55,NH3 d1,0.00023850625368207408
79,TDratio_d3,0.00023788901441154005
78,LDH_d3,0.00023386841264477282
16,PIVKA,0.00022505034859529802
7,ALP,0.0002212837081943138
8,gGTP,0.00019579409617773304
14,IgM,0.00019441958118293003
17,sIL2R,0.0001923508225958411
64,AST d2,0.00018939835023908596
67,NH3 d2,0.00018784343221904835
59,Plt d2,0.0001853599084751396
37,NH3,0.00018071819789067044
38,D/T-bil,0.00018070823497670876
76,AST_d3,0.0001621466602376062
74,BUN_d3,0.0001572864911328655
73,Alb_d3,0.00015683910023952348
30,BUN,0.00015306823824464308
51,Cre d1,0.00015261832936859558
31,Cre,0.00015094026722762454
63,Cre d2,0.00015075082580911071
68,D/T-bil d2,0.0001467464131811881
62,BUN d2,0.0001450545632250523
50,BUN d1,0.00014329189315689646
66,LDH d2,0.00014153925409987497
75,Cre_d3,0.00013957291027177343
69,Yesterday_FFPprescribing_U_d2,0.00012731782665191625
56,D/T-bil d1,0.0001258256478794489
40,No TASIT,0.00010590688133372292
57,FFP d0,9.486108732258746e-05
70,Yesterday_rhTM_NotDone_d2,8.043681858260806e-05
24,ALT/LDH>1.5,7.614035802277697e-05
41,No PAP,6.865637046610663e-05
18,Sex M,6.656928069256456e-05
21,ALI,6.349528239659606e-05
39,No PE,6.280419628272953e-05
20,ALF NC,6.113679430773958e-05
42,No AC,5.990769767554416e-05
58,No rhTM d0,5.90602338350609e-05
43,No CHDF,5.7056208148474053e-05
1,HE,5.3445927381880776e-05
44,Vasopressor,1.3270806844408258e-05
19,ALF SA,4.495772502418696e-06
22,LOHF,4.264810380306869e-06
45,Yesterday_FFPprescribing_U_d0,0.0
46,Yesterday_rhTM_NotDone_d0,0.0
