rep,id,g,d,P0
1,1,25.6587,0.279841,23.661
2,1,31.8698,0.451444,22.3745
3,1,38.3231,0.501156,32.0107
4,1,30.4784,0.358051,21.5014
1,2,31.7913,0.440492,62.1843
2,2,25.8062,0.306772,81.6657
3,2,24.7005,0.29357,68.3528
4,2,32.1663,0.40304,57.5426
1,3,31.8104,0.284506,106.786
2,3,49.5081,0.478559,108.283
3,3,41.7519,0.353723,106.372
4,3,40.3421,0.373694,100.178
1,4,59.7261,0.441521,49.0084
2,4,67.6581,0.494774,27.3209
3,4,71.6245,0.487805,38.3818
4,4,57.6631,0.372133,38.3176
1,5,25.6003,0.433552,29.4395
2,5,24.6028,0.454362,41.4027
3,5,25.9856,0.484388,33.4677
4,5,21.0483,0.360068,36.0992
1,6,25.4344,0.327165,67.9739
2,6,38.4492,0.450087,66.1905
3,6,35.0865,0.4313,66.4563
4,6,48.1605,0.59791,68.3365
1,7,20.0979,0.456766,31.7477
2,7,19.7523,0.490431,33.8899
3,7,21.0885,0.485395,24.0075
4,7,23.311,0.382895,27.5932
1,8,39.8979,0.497036,63.0744
2,8,34.2886,0.403533,56.2544
3,8,37.0644,0.44501,44.7675
4,8,35.3448,0.456553,46.4817
1,9,40.4118,0.422017,55.1562
2,9,36.7544,0.415793,73.3734
3,9,35.9363,0.463418,68.4697
4,9,35.5582,0.379958,80.4183
1,10,59.4839,0.61958,102.787
2,10,46.849,0.466949,101.469
3,10,50.1516,0.447401,89.1124
4,10,49.0816,0.46715,110.617
1,11,41.794,0.438112,82.9359
2,11,34.0846,0.355538,87.2361
3,11,42.5574,0.452149,85.6561
4,11,35.1843,0.411092,101.816
1,12,47.2709,0.629062,66.7125
2,12,28.109,0.371643,71.758
3,12,28.2724,0.391953,81.3518
4,12,34.5109,0.418548,83.8858
1,13,33.199,0.279254,44.875
2,13,29.5598,0.354601,55.7897
3,13,35.8109,0.345263,47.7788
4,13,38.166,0.329026,38.6052
1,14,49.1758,0.431745,45.2933
2,14,45.3379,0.389333,45.471
3,14,32.3091,0.278655,53.3259
4,14,43.9125,0.387381,41.51
1,15,41.8466,0.50419,107.315
2,15,33.6161,0.46044,108.847
3,15,32.7861,0.42424,95.5391
4,15,24.1938,0.365948,97.3202
1,16,35.7312,0.337724,100.901
2,16,50.273,0.446823,99.9876
3,16,29.1907,0.280506,96.8701
4,16,42.431,0.428482,110.774
1,17,22.5201,0.682336,32.1284
2,17,19.351,0.61735,38.4004
3,17,15.345,0.511572,42.9146
4,17,15.4914,0.474716,35.9666
1,18,47.4165,0.352517,106.616
2,18,46.0886,0.362787,97.5585
3,18,36.8983,0.278811,117.34
4,18,38.271,0.338691,126.033
1,19,50.6089,0.414724,81.8499
2,19,37.7373,0.369827,106.966
3,19,45.8296,0.375774,87.178
4,19,31.7822,0.275151,98.0752
1,20,42.8444,0.456308,58.4898
2,20,21.7779,0.210202,55.1782
3,20,46.4705,0.488561,56.8255
4,20,36.148,0.326216,60.4124
1,21,44.4517,0.349908,30.4774
2,21,46.8558,0.433033,24.4509
3,21,54.6366,0.469899,28.5632
4,21,55.6936,0.537859,29.8624
1,22,28.4759,0.480396,15.4615
2,22,24.8845,0.371479,24.4328
3,22,31.5972,0.505087,19.7536
4,22,25.164,0.388666,32.1096
1,23,34.9274,0.383337,45.349
2,23,30.2319,0.282725,42.1377
3,23,38.1128,0.34746,45.7133
