rep,id,eta_g,eta_d,eta_P0
1,1,-0.265941,-0.416086,-0.566211
2,1,-0.0491651,0.0621418,-0.622117
3,1,0.135228,0.166607,-0.263969
4,1,-0.0938061,-0.169635,-0.661923
1,2,-0.0516336,0.0375825,0.400064
2,2,-0.26021,-0.324203,0.672595
3,2,-0.304001,-0.368192,0.494644
4,2,-0.0399052,-0.0512747,0.322487
1,3,-0.0510318,-0.399556,0.940788
2,3,0.391312,0.120471,0.954714
3,3,0.22092,-0.181797,0.9369
4,3,0.186571,-0.126871,0.876914
1,4,0.578945,0.0399162,0.161953
2,4,0.703642,0.153791,-0.422386
3,4,0.760612,0.139606,-0.0824558
4,4,0.543792,-0.131057,-0.0841311
1,5,-0.268219,0.0217018,-0.347702
2,5,-0.307963,0.0685845,-0.00669318
3,5,-0.253283,0.132577,-0.219459
4,5,-0.464007,-0.164016,-0.143769
1,6,-0.27472,-0.259846,0.489085
2,6,0.138514,0.0591317,0.462499
3,6,0.0469925,0.0164931,0.466506
4,6,0.363715,0.343131,0.494404
1,7,-0.51021,0.0738621,-0.272218
2,7,-0.527553,0.144975,-0.206922
3,7,-0.462096,0.134654,-0.551675
4,7,-0.361901,-0.102549,-0.412471
1,8,0.175499,0.158353,0.414276
2,8,0.0239871,-0.0500521,0.299846
3,8,0.101832,0.0477871,0.0714429
4,8,0.0543256,0.073396,0.109019
1,9,0.188297,-0.0052645,0.28013
2,9,0.0934333,-0.0201219,0.565522
3,9,0.0709222,0.0883192,0.496352
4,9,0.0603471,-0.110248,0.657202
1,10,0.574881,0.378732,0.902619
2,10,0.336105,0.0959109,0.889711
3,10,0.404225,0.0531458,0.75986
4,10,0.38266,0.0963398,0.976032
1,11,0.221927,0.0321646,0.688028
2,11,0.0180197,-0.176678,0.738579
3,11,0.24003,0.0637016,0.720301
4,11,0.0497766,-0.0314926,0.893124
1,12,0.34507,0.39392,0.470353
2,12,-0.174735,-0.132377,0.543261
3,12,-0.168938,-0.0791675,0.668744
4,12,0.0304503,-0.013517,0.699417
1,13,-0.00830573,-0.418188,0.0738428
2,13,-0.124411,-0.179317,0.29155
3,13,0.0674285,-0.206002,0.136543
4,13,0.13112,-0.254174,-0.0766516
1,14,0.384576,0.0175265,0.0831195
2,14,0.303319,-0.0858736,0.0870347
3,14,-0.0354767,-0.420336,0.246382
4,14,0.271374,-0.0909009,-0.00410517
1,15,0.223186,0.172643,0.945733
2,15,0.00417961,0.0818719,0.9599
3,15,-0.0208204,-1.12911e-05,0.829497
4,15,-0.324728,-0.147819,0.847968
1,16,0.0651997,-0.228081,0.884101
2,16,0.406643,0.0518535,0.875007
3,16,-0.136975,-0.413716,0.843331
4,16,0.237055,0.00993895,0.97745
1,17,-0.396416,0.475212,-0.2603
2,17,-0.548079,0.375127,-0.0819719
3,17,-0.780036,0.187179,0.0291741
4,17,-0.770539,0.112407,-0.147449
1,18,0.348145,-0.185211,0.939194
2,18,0.319741,-0.156494,0.850414
3,18,0.0973413,-0.419776,1.03504
4,18,0.133868,-0.225222,1.10651
1,19,0.413302,-0.0226962,0.674848
2,19,0.119824,-0.137273,0.94247
3,19,0.314106,-0.121322,0.737912
4,19,-0.0519169,-0.432989,0.855695
1,20,0.246749,0.0728575,0.338813
2,20,-0.42993,-0.702239,0.28053
3,20,0.327993,0.141154,0.309947
4,20,0.0767972,-0.262749,0.371155
1,21,0.283578,-0.19264,-0.313055
2,21,0.33625,0.0205042,-0.533372
3,21,0.489879,0.102208,-0.377919
4,21,0.509041,0.237288,-0.333438
1,22,-0.161768,0.124301,-0.991684
2,22,-0.296582,-0.132818,-0.534111
3,22,-0.0577574,0.174421,-0.746704
4,22,-0.28541,-0.0875885,-0.260883
1,23,0.0424464,-0.101394,0.0843492
2,23,-0.101928,-0.405835,0.0109031
3,23,0.129726,-0.199661,0.0923491
4,23,0.254788,-0.055824,-0.232704
1,24,-0.306391,0.0807228,0.123857
2,24,0.0368792,0.154184,-0.142664
3,24,0.389021,0.587995,0.116945
4,24,-0.496402,-0.215581,0.0826429
1,25,-0.0207515,0.237487,0.0561131
2,25,-0.00458232,0.212547,0.00322249
3,25,-0.150531,-0.139323,-0.194755
4,25,-0.105752,0.195659,-0.0634071
1,26,0.183278,0.403304,0.0604805
2,26,-0.360806,-0.244366,0.105493
3,26,0.0267999,0.0781143,0.0305148
4,26,-0.0635419,-0.0199758,0.00426763
1,27,0.257055,-0.563232,0.265573
2,27,0.238254,-0.415029,0.2971
3,27,0.282973,-0.44736,0.227047
4,27,0.264312,-0.315509,0.332744
1,28,0.30192,0.12675,0.907294
2,28,0.251535,0.105623,0.984323
3,28,0.136578,-0.0454679,0.937144
4,28,-0.110149,-0.353167,0.933387
1,29,-0.00739155,0.176999,-0.316917
2,29,-0.402283,-0.272687,-0.156298
3,29,-0.207913,-0.0609204,-0.257753
4,29,-0.195547,-0.0694165,0.0190787
1,30,-0.228792,0.254134,-0.943216
2,30,-0.134972,0.568703,-0.462789
3,30,-0.163755,0.475392,-0.446466
4,30,-0.29838,0.43455,-0.373797
1,31,-0.384395,0.28152,-0.0747729
2,31,-0.527861,0.322248,0.258084
3,31,-0.398211,0.250501,-0.0826599
4,31,-0.294436,0.486577,-0.0941918
1,32,-0.066088,-0.190042,-0.617415
2,32,0.0591504,0.0747531,-0.739207
3,32,-0.263389,-0.523423,-1.16345
4,32,0.220654,0.18545,-1.17957
1,33,-0.297808,-0.348943,0.101641
2,33,-0.210197,-0.203512,-0.00314622
3,33,0.0105816,0.121932,-0.152865
4,33,-0.353304,-0.214789,0.157438
1,34,-0.0784379,-0.22255,0.00699393
2,34,0.171612,-0.115489,-0.0691699
3,34,-0.0399434,-0.400702,-0.109033
4,34,0.00485895,-0.19544,0.0466445
1,35,-0.134851,-0.027797,0.0171337
2,35,-0.0658445,0.26868,0.18271
3,35,0.0870986,0.26213,0.0856545
4,35,-0.225908,0.00752191,-0.0944331
1,36,-0.357013,-0.0854135,-0.0182398
2,36,0.00885096,0.153555,-0.480893
3,36,0.0678017,0.0409487,-0.0483006
4,36,-0.0436856,0.224163,0.0729991
1,37,-0.0181061,-0.13737,0.388348
2,37,0.403136,0.230857,0.368011
3,37,0.0996404,0.245544,0.572718
4,37,-0.429869,-0.318083,0.474403
1,38,0.153539,-0.116537,0.818393
2,38,0.0670188,-0.194701,0.845008
3,38,0.0604989,-0.226841,0.850025
4,38,0.251441,0.00327548,0.95348
1,39,0.363124,0.00474875,0.190349
2,39,0.525067,0.252658,0.116897
3,39,0.622452,0.29227,0.243266
4,39,0.508311,0.148604,0.262991
1,40,-0.0639704,-0.231439,0.0320544
2,40,-0.115939,-0.195563,0.369629
3,40,-0.250107,-0.326752,0.37037
4,40,-0.369475,-0.505529,0.29644
1,41,0.480717,0.0796034,0.985233
2,41,0.803978,0.438039,0.89377
3,41,0.407286,0.144241,1.09036
4,41,0.0750692,-0.196348,0.832177
1,42,0.110376,0.221008,-0.989915
2,42,-0.240925,-0.130002,-0.689547
3,42,0.0676944,0.480109,-0.744813
4,42,-0.457528,-0.268343,-0.828614
1,43,0.105945,0.101858,0.560067
2,43,-0.0710869,-0.18242,0.590546
3,43,-0.207154,-0.221745,0.629483
4,43,0.0702887,0.00590717,0.44223
1,44,-0.272535,-0.019731,-0.00791935
2,44,-0.076604,0.333922,0.0417552
3,44,-0.0194734,0.330359,0.089317
4,44,-0.287595,0.087697,0.184113
1,45,-0.143744,-0.347037,-0.141658
2,45,0.00670915,-0.238228,-0.435183
3,45,-0.0782362,-0.158584,-0.303332
4,45,-0.211378,-0.494077,-0.496036
1,46,0.123417,0.379546,0.273956
2,46,0.0637838,0.387973,0.312796
3,46,-0.310355,-0.111806,0.355809
4,46,-0.471593,-0.179276,0.302282
1,47,-0.127322,0.168726,-0.119395
2,47,-0.375588,-0.128462,-0.695637
3,47,-0.0346634,0.234214,-0.393879
4,47,-0.363668,-0.221941,-0.785326
1,48,0.262757,0.0278714,-0.281262
2,48,-0.134065,-0.509336,-0.33723
3,48,2.42147e-05,-0.300465,-0.278831
4,48,0.18717,-0.133875,-0.313466
1,49,0.0459801,-0.0297231,0.217998
2,49,-0.00387475,0.0743289,-0.0316909
3,49,0.131615,0.181076,0.00672515
4,49,-0.229372,-0.442394,0.00357795
1,50,0.469976,0.223631,0.00504993
2,50,0.421333,0.0749381,-0.0290333
3,50,0.285316,-0.00869627,0.202477
4,50,0.149628,-0.0736237,0.284505
1,51,0.0906727,0.0881318,0.189641
2,51,-0.186556,-0.0457346,0.404329
3,51,0.0254709,-0.0911555,0.174214
4,51,-0.0664712,0.0675617,0.220863
1,52,-0.0686591,0.118288,0.0171975
2,52,-0.320233,-0.0357361,0.256286
3,52,0.243378,0.372933,0.104901
4,52,0.100906,0.295945,0.166679
1,53,0.184744,-0.243395,0.826657
2,53,0.0537007,-0.320474,0.779268
3,53,0.00310137,-0.160961,0.703587
4,53,0.140993,-0.276113,0.797753
1,54,0.289652,0.0634107,-0.446192
2,54,-0.0103711,-0.310429,-0.359565
3,54,0.134946,-0.0168455,-0.267265
4,54,0.175458,-0.0961039,-0.114665
1,55,-0.192664,-0.216376,0.402775
2,55,-0.091338,-0.193683,0.313344
3,55,0.0933842,-0.0643802,0.615006
4,55,0.094994,0.141986,0.314249
1,56,0.110246,-0.164859,0.717232
2,56,0.174125,-0.043566,0.880223
3,56,0.262897,-0.0256379,0.772815
4,56,0.399977,0.0983475,0.792447
1,57,0.22664,-0.0620406,-0.789347
2,57,-0.0941634,-0.318382,-0.104159
3,57,0.156553,-0.0413425,-0.485207
4,57,0.167054,-0.111039,-0.516175
1,58,-0.182759,-0.288178,0.232454
2,58,0.473923,0.576177,0.385021
3,58,0.165936,0.250727,0.0993431
4,58,0.0387148,0.0370782,0.433102
1,59,0.521984,0.314334,-1.14544
2,59,-0.040348,-0.327895,-0.596958
3,59,0.217242,-0.00190747,-0.542594
4,59,0.0995138,-0.0634229,-0.325481
1,60,-0.66067,0.627525,-0.138395
2,60,-0.309443,0.416174,-0.707931
3,60,-0.722998,0.296483,-0.128952
