id,importanceSampling
1,43.900132
2,38.807668
3,45.373238
4,56.589477
5,35.953309
6,45.313887
7,37.484551
8,36.740582
9,39.022161
10,36.571041
11,42.391724
12,38.469909
13,38.055151
14,39.320900
15,34.548130
16,37.878693
17,53.380274
18,38.456814
19,37.985482
20,38.179818
21,39.958330
22,39.100111
23,39.843090
24,37.928686
25,37.339996
26,40.926366
27,36.026370
28,43.300235
29,38.723804
30,43.970070
31,38.705715
32,39.311056
33,38.541337
34,40.506514
35,37.823163
36,37.415704
37,39.523310
38,43.294446
39,42.799258
40,39.833914
41,43.328502
42,40.714399
43,38.618431
44,40.247068
45,42.102852
46,38.419929
47,37.434864
48,38.143528
49,40.785271
50,42.637582
51,38.131809
52,38.033057
53,37.458320
54,36.708466
55,31.971479
56,42.588533
57,37.858845
58,38.517301
59,38.399027
60,44.094672
61,55.196690
62,49.080027
63,35.918583
64,39.274788
65,37.371368
66,42.238418
67,34.934546
68,37.614112
69,33.116897
70,37.714281
71,39.266995
72,35.920823
73,36.212805
74,39.640392
75,40.351079
76,37.965068
77,39.488266
78,58.538989
79,40.877424
80,36.157260
81,36.879420
82,40.914315
83,37.904955
84,38.561401
85,37.518123
86,37.320504
87,42.536721
88,37.383192
89,40.979631
90,40.573198
91,15.897088
92,39.705335
93,37.860345
94,43.930892
95,44.746043
96,46.735689
97,45.712070
98,43.079359
99,36.657363
100,39.507585
101,35.654224
102,36.046439
103,44.661034
104,36.631054
105,41.201774
106,36.436937
107,39.085276
108,38.385145
109,41.400698
110,35.628787
111,35.907906
112,37.442490
113,36.656820
114,38.696021
115,39.842178
116,30.291034
117,36.442077
118,42.187887
119,37.920487
120,50.928092
121,39.044351
122,41.813142
123,39.753177
124,37.053815
125,35.783259
126,37.329023
127,48.559280
128,31.138648
129,42.171758
130,42.486913
131,39.468065
132,36.050608
133,41.319954
134,39.556696
135,43.760579
136,39.679048
137,50.778460
138,39.843705
139,37.507850
140,36.816949
141,36.175328
142,38.973413
143,35.913343
144,29.246886
145,46.831091
146,39.650749
147,36.212307
148,43.267361
149,37.385283
150,43.476385
151,40.934522
152,37.160725
153,39.097028
154,38.606610
155,41.552429
156,36.813808
157,41.766584
158,36.976432
159,37.503229
160,39.777627
161,40.295987
162,37.813091
163,23.359248
164,33.501161
165,40.205644
166,38.896559
167,37.925706
168,39.806738
169,36.179222
170,43.286232
171,32.008605
172,31.025498
173,38.829447
174,38.484129
175,37.154417
176,40.529636
177,48.864576
178,38.080252
179,39.554775
180,35.581898
181,41.721148
182,41.409618
183,38.421600
184,38.177623
185,66.238188
186,38.970161
187,37.835365
188,26.653288
189,40.685182
190,37.155585
191,36.102219
192,41.540076
193,41.463819
194,41.721890
195,41.321225
196,37.141319
197,39.598230
198,43.148990
199,35.577197
200,37.091971
201,38.576463
202,30.268610
203,39.576174
204,37.199836
205,39.342401
206,35.821068
207,26.771565
208,36.640163
209,45.614595
210,37.085543
211,39.441474
212,21.167797
213,37.625713
214,42.442171
215,39.652986
216,43.364446
217,41.729237
218,38.624197
219,39.309792
220,38.064910
221,25.063588
222,38.878649
223,31.776785
224,9.590489
225,38.631149
226,38.956957
227,39.548895
228,40.887735
229,28.162625
230,32.925085
231,42.215287
232,40.246691
233,41.030539
234,19.688326
235,46.511383
236,20.757057
237,38.011272
238,40.225889
239,38.079242
240,42.122778
241,38.891983
242,36.487215
243,49.879635
244,37.033360
245,35.919393
246,42.628553
247,40.759784
248,38.002017
249,38.753057
250,37.264330
251,39.329929
252,48.007395
253,38.735301
254,39.983117
255,36.381386
256,40.517621
257,39.081036
258,28.165623
259,38.798401
260,38.329454
261,41.957905
262,40.908227
263,43.483472
264,41.694858
265,42.162014
266,37.851785
267,31.835745
268,27.168335
269,44.269240
270,39.993613
271,27.396747
272,40.906466
273,29.613255
274,59.686784
275,26.298818
276,39.025495
277,28.193690
278,36.631674
279,42.577409
280,37.495305
281,52.521879
282,34.995023
283,36.759932
284,30.396420
285,26.988008
286,17.903457
287,60.694441
288,43.503854
289,37.441177
290,38.634829
291,38.696278
292,38.444490
293,40.101791
294,48.130574
295,40.543252
296,44.505976
297,38.425893
298,37.322549
299,39.514567
300,38.225069
301,44.856653
302,46.465845
303,39.055774
304,33.479621
305,43.768403
306,38.699758
307,37.929120
308,37.999903
309,38.150833
310,39.599182
311,38.156979
312,41.831487
313,43.052726
314,40.781755
315,49.704722
316,42.679811
317,40.744565
318,55.327561
319,41.056333
320,37.554884
